"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABCF2",1855.67570754922,-1.71468403362624,0.328500969712889,-5.21972289800202,1.79191034584006e-07,1.43852002692118e-05
"ABHD13",2151.74919471319,-0.795687865407822,0.282506152636311,-2.81653287187754,0.00485450749100112,0.082854684421202
"ABHD17C",1716.40008659733,1.80770518810069,0.621029514036973,2.91082009347637,0.00360481514684553,0.0658902785906115
"ABRA",70.2366640032512,-7.16098373635593,1.43683382551191,-4.98386355416198,6.23270388991326e-07,4.27130237919117e-05
"ACADVL",2062.94272657972,-3.0943998391901,0.461447570424946,-6.70585357365838,2.00232430342569e-11,3.56893896801811e-09
"ACOT2",281.090706522265,8.7177831761993,1.40217595254808,6.21732469477677,5.05702635125417e-10,4.87861967053611e-08
"ACSS2",1960.79755777731,1.80192254615942,0.539864826238826,3.3377291102908,0.000844660534668746,0.0199435709015589
"ACTA1",2326.58813052966,1.28585940837446,0.315701598224418,4.07302153554637,4.64071314710945e-05,0.00155229092441557
"ACTG1",2275.77851021735,1.23986656177679,0.299334015277124,4.14208375426001,3.44164607858975e-05,0.00117749346353943
"ACTG1P4",1333.76087570196,1.45282243792679,0.508243957263956,2.85851394229616,0.00425630404045466,0.074511839736246
"ADAM33",292.454766309929,8.74532753926741,1.4087354621621,6.20792744568613,5.36879255586022e-10,5.15725295173616e-08
"ADAT1",2217.5952557461,-1.54365510142313,0.390229119492061,-3.95576604696342,7.62897933085208e-05,0.00245327893274525
"ADCY2",647.135945621824,10.0549970738944,1.30603941795099,7.69884655523602,1.37299923180039e-14,6.29842382294066e-12
"ADRA1A",329.601796487784,-8.58714640678329,1.37768856302097,-6.23300986686971,4.57557339557192e-10,4.49125496880636e-08
"AFG3L1P",2423.89453877593,1.91604752209877,0.577133492506472,3.31993818930424,0.000900373807438965,0.021038048278184
"AGA",1163.46726464996,-1.5294462684812,0.494908174239579,-3.09036372420233,0.00199911518696151,0.040519487080722
"AGER",1818.81060843014,1.33518875821797,0.352525961587215,3.78749057858437,0.00015217645339199,0.0045486998927462
"AGRN",1962.94434855012,-2.90195037019533,0.328324594390999,-8.83866277388717,9.68710280496547e-19,1.34918814546183e-15
"AGTRAP",2165.06779329408,2.25525438982673,0.603628864211544,3.73616061712445,0.000186851343661677,0.00542641408634004
"AHNAK",2502.2965256918,1.46108502362018,0.351925201952253,4.15169193770445,3.30026312573295e-05,0.00113778089785622
"AIG1",1943.30687227647,-1.84448935028273,0.617178187879762,-2.9885847985316,0.00280272714126153,0.0539380998983533
"AIMP2",2213.9627843532,1.85731610250309,0.458365284101688,4.05204357075839,5.07722066558888e-05,0.00168575725437381
"AK4",2405.62305544496,-1.52655129635864,0.287748636796723,-5.30515561551401,1.12576916074822e-07,9.16849246206465e-06
"AKR1C1",2442.13860845582,0.868566432846807,0.282551095839717,3.0740154458276,0.00211198497696187,0.042500625167546
"ALDOA",2061.98531183811,-0.875260632923145,0.250066251682079,-3.50011497767361,0.000465057520392535,0.0120155895900959
"ALG13",1376.40630267998,-2.54668228428104,0.663594246034264,-3.83771001557108,0.000124187011569655,0.00380310033523529
"ALKBH5",2312.40975648039,0.980433349691218,0.256835386598662,3.81736084998003,0.000134886817319661,0.00409277983516135
"ALOX5AP",232.251843553983,8.70569883915966,1.38142696431042,6.30196098966792,2.93903149859628e-10,3.10992952771935e-08
"AMBN",81.3780656199088,7.36000387097983,1.46639466712039,5.01911527367522,5.19099949155601e-07,3.75268542877451e-05
"AMD1",1815.29772745861,-0.847701546136758,0.281189202148522,-3.01470163028881,0.00257232169679179,0.0501480026890597
"AMIGO1",669.47612471451,-5.9674589459148,1.29343733051576,-4.61364366492751,3.95670546542588e-06,0.000162593830807757
"AMOT",1864.1703091702,1.33394676383371,0.430550108710073,3.09823813035424,0.00194674933294444,0.0396727393526067
"AMZ1",425.402559719387,9.04982199942002,1.37972292273964,6.55915898059466,5.41120889002317e-11,8.00218114670664e-09
"ANKRD30BP3",82.5367809836903,6.79689559670128,1.44387531402657,4.70739788309462,2.50898895213601e-06,0.000107218733205538
"ANKRD52",2281.66223971577,-0.592992718331542,0.206100792812959,-2.87719765769992,0.00401224189924751,0.0714071048387059
"ANKRD9",2251.21260052464,-2.1211831786606,0.313740316941421,-6.76095185770038,1.37088074673955e-11,2.58946701052198e-09
"ANKZF1",2120.96202103898,1.48348643105715,0.303059903747171,4.89502706466491,9.82922001738582e-07,5.60764486169539e-05
"ANO2",223.332178809756,-8.53727644460198,1.36491785260465,-6.25479139884529,3.98047589315489e-10,3.99433647885427e-08
"ANO5",1671.61121429555,1.84320014071798,0.644435818251611,2.86017643420051,0.00423405375308732,0.0743539533296068
"ANP32A-IT1",2641.62776789334,0.796131374582199,0.27818682391199,2.86185867248001,0.00421164662179992,0.0740182898864884
"ANTXR1",1713.63879165458,2.31632593233966,0.841298857089996,2.7532735992911,0.00590025640334274,0.0970907492198668
"ANXA11",2290.13050840753,-2.08631008404079,0.549416657596588,-3.79731858361796,0.000146269752226961,0.00438380198741018
"ANXA2P2",1664.20924523226,-1.77340955992094,0.543503221421221,-3.262923732602,0.00110269190697012,0.0250114113873606
"ANXA8L1",77.8628389453091,7.12186932334025,1.45881594764632,4.88195192466246,1.05040868214024e-06,5.80124971920107e-05
"AOC2",2442.85950632339,0.843170183340852,0.217209216185323,3.88183428930317,0.000103671515338122,0.00322552220279898
"AOC3",1315.18057759016,1.23680004677552,0.388035294903164,3.18733904626942,0.00143588349844928,0.0307975088531899
"AP1S3",2238.73058112374,0.84198639190394,0.292176599123389,2.88177216940075,0.00395445549304655,0.0705462306132543
"AP3M1",968.221170450841,-1.28909232665349,0.44291546876703,-2.91047032121505,0.00360885239449407,0.0658974688248884
"AQP9",289.692009545972,8.91071159314888,1.39241562254463,6.39946252316865,1.55924844906605e-10,1.79737367374906e-08
"AQPEP",2002.79915836653,-1.8574062716087,0.441776740347495,-4.20440032706948,2.6177526226722e-05,0.000928104786315865
"ARFGAP3",1811.28447152771,-2.13729390235798,0.734888403794503,-2.90832443582227,0.00363371142390762,0.0661712872196693
"ARFRP1",2202.72690310704,1.7895587704442,0.527865458478127,3.3901797166339,0.000698468181031541,0.0169915235640985
"ARHGAP26-AS1",294.450923049336,9.22186798297521,1.43846468020338,6.41091026417928,1.44653326087652e-10,1.72340369774441e-08
"ARHGAP30",1905.7274286974,-1.3778146237827,0.462673176660241,-2.97794359666215,0.00290189381397586,0.0557034749364214
"ARHGAP33",1987.02879165503,-2.44109552745779,0.622753841054594,-3.91984017846273,8.86077094502378e-05,0.00278952954204824
"ARHGEF15",82.7356724491697,-7.23344586363604,1.45752455247519,-4.96282951210125,6.94735615878608e-07,4.57508342650894e-05
"ARHGEF26",2029.41649143138,-1.25823231009679,0.289388946757393,-4.34789346378049,1.37451338277161e-05,0.000514081727419972
"ARHGEF5",3536.95241373762,0.415848859392724,0.135722730779803,3.06395882991331,0.00218428967405022,0.043643078482934
"ARID3A",1497.55706500182,-2.46095678347815,0.359618719124457,-6.84323883214337,7.74224108329363e-12,1.55384013455602e-09
"ARID3B",2418.04801857964,1.25680752842976,0.206979917681655,6.0721230470426,1.26230148106683e-09,1.12595288458016e-07
"ARL5B",1544.43493844141,-1.62248804468152,0.496435028836871,-3.26827872820125,0.00108203748041556,0.0246423895489168
"ARMC7",2045.2467242122,1.90996157436311,0.38808629971724,4.92148673054088,8.58892267157938e-07,5.17298837720672e-05
"ARR3",503.093472566864,9.99569713509885,1.4445521064764,6.91958226379297,4.52977383083411e-12,9.79040924706626e-10
"ARSB",1712.82456645908,-1.6191609377098,0.553366819866411,-2.92601738951512,0.0034333174549108,0.0635177858036913
"ARTN",1720.40933241497,-1.31119002836579,0.349701460125307,-3.74945540088955,0.00017721900939856,0.00518688657976672
"ASB13",2244.29349576442,1.93329962917669,0.400576169416753,4.82629716089105,1.39094920237036e-06,6.84152213804833e-05
"ASB14",76.2844486101198,7.0931264885928,1.4549207428477,4.87526658992401,1.08661609254199e-06,5.9718720117748e-05
"ASB6",2326.70304674133,2.23289704243384,0.402963437971962,5.54119017266575,3.00422737646992e-08,2.55791753667769e-06
"ASGR2",78.6228963363727,-7.14586808454335,1.4471663314625,-4.93783466985566,7.89947672237728e-07,4.9037088141439e-05
"ASNSD1",2195.0089629667,2.25852241637256,0.703511230559434,3.21035730243649,0.00132570072493942,0.0290571730198817
"ASTE1",2453.10512713071,1.96790834239367,0.458751578526337,4.28970369696654,1.78911653562882e-05,0.000652853270906894
"ASXL3",374.512962013414,9.11783456059312,1.39897005891005,6.51753374028383,7.14727478811026e-11,9.97574809721644e-09
"ATAD3B",2773.80509983239,1.41503846761044,0.271158424905903,5.21849346226834,1.80384344718151e-07,1.44294637031125e-05
"ATF4",926.608411518114,-2.30400837910023,0.54272698104458,-4.24524385109017,2.18355823866958e-05,0.000784057860843687
"ATF7",2279.40714787393,-1.42847681893268,0.504809226034879,-2.82973595818151,0.00465864336143133,0.0800588901384318
"ATG16L1",774.676011979771,-2.09992259765621,0.669505659979098,-3.13652702760088,0.00170961678354011,0.0354182175672023
"ATP10A",76.7086346813372,6.58481017662494,1.38674764845898,4.74838387787591,2.05048563152871e-06,9.03741490696125e-05
"ATP11A-AS1",76.3473870554235,6.93844797231587,1.44605766558775,4.7981820762976,1.60112199729574e-06,7.54507762163808e-05
"ATP2B4",2132.93072623224,0.79613454176729,0.251637757000315,3.16381194641746,0.00155717375679879,0.0327984356046821
"ATP6V0A2",2490.57315068192,-1.26487862119656,0.289426523063452,-4.37029270091897,1.24080100537381e-05,0.000467470447631243
