GeneID	S1768_HCT116wt_normDMSO	S1756_HCT116wt_normDMSO	S1774_HCT116wt_hypoxDMSO	S1762_HCT116wt_hypoxDMSO	S1771_HCT116wt_norm3MB	S1759_HCT116wt_norm3MB	S1777_HCT116wt_hypox3MB	S1765_HCT116wt_hypox3MB	S1769_HCT116cdk8as_normDMSO	S1757_HCT116cdk8as_normDMSO	S1775_HCT116cdk8as_hypoxDMSO	S1763_HCT116cdk8as_hypoxDMSO	S1772_HCT116cdk8as_norm3MB	S1760_HCT116cdk8as_norm3MB	S1778_HCT116cdk8as_hypox3MB	S1766_HCT116cdk8as_hypox3MB
A1BG	9	11	32	30	32	14	57	55	2	4	8	0	7	16	23	23
A1BG-AS1	0	0	1	1	0	0	1	0	1	1	1	2	1	0	1	0
A1CF	12	4	4	0	5	0	2	1	1	3	0	0	3	3	0	0
A2M	2	0	0	7	4	1	1	5	2	0	1	0	0	2	0	1
A2M-AS1	16	17	5	14	18	10	19	17	16	12	2	5	14	14	18	17
A2ML1	0	0	0	0	0	0	3	0	1	1	0	1	2	3	10	2
A2MP1	1	5	0	1	3	0	4	0	0	1	3	0	0	0	0	0
A3GALT2	0	2	0	0	2	1	0	2	3	0	0	0	0	2	0	0
A4GALT	679	644	493	659	805	347	737	646	637	724	299	607	467	632	640	697
A4GNT	2	0	1	0	2	0	0	0	0	0	0	0	0	1	1	3
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	3410	2557	2146	2301	3236	1327	2434	2649	2696	2786	1326	1662	1764	2118	2055	2003
AACS	860	683	756	837	724	365	922	1041	616	741	513	783	425	562	853	805
AACSP1	120	100	101	100	134	87	145	169	133	121	37	136	90	122	115	129
AADAC	100	53	167	160	154	39	212	198	84	64	156	151	116	93	291	208
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AADACL2-AS1	3	0	1	2	2	1	0	1	2	0	0	0	0	1	2	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	1
AADACL4	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2
AADACP1	95	50	49	93	95	28	90	92	37	34	26	21	72	37	66	36
AADAT	975	716	503	370	1019	383	723	615	668	574	281	348	535	656	656	421
AAED1	837	371	389	490	548	203	497	566	468	415	151	306	248	312	476	326
AAGAB	3814	1972	1479	1514	2647	1143	1648	1988	2711	2382	1321	1719	1841	2103	2468	2135
AAK1	468	905	829	759	1149	352	932	942	1249	1063	468	709	729	817	964	1017
AAMDC	300	121	206	212	180	68	276	205	124	100	90	113	83	102	251	182
AAMP	7933	5228	4804	4843	5868	2470	4996	5537	5659	5951	3327	4776	3852	4371	5462	5024
AANAT	5	2	5	10	4	3	9	12	5	8	1	9	4	6	19	15
AAR2	2299	1499	1015	885	1769	744	1184	1199	1768	1888	590	813	1340	1411	1049	992
AARD	0	0	0	1	1	1	0	0	1	0	0	1	1	1	0	0
AARS	10905	8580	8894	7839	10922	3841	8315	8854	9301	8663	6470	6537	5388	5747	8692	6916
AARS2	1476	1132	738	779	1415	508	824	837	1375	1281	533	508	810	940	843	687
AARSD1	53	34	46	45	35	15	29	39	56	51	21	47	24	42	14	28
AASDH	795	339	558	538	738	307	671	722	418	337	218	352	392	395	556	451
AASDHPPT	3578	1703	1172	1027	2323	803	1217	1331	1900	1413	387	573	1414	1222	938	702
AASS	422	278	258	337	442	145	346	421	346	289	146	200	237	325	433	389
AATF	5535	3510	3786	4474	4467	1872	3886	4537	3965	3568	2721	3737	2758	2885	4032	3588
AATK	207	222	160	236	220	125	236	202	231	219	89	225	92	174	184	229
AATK-AS1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0
ABAT	353	303	265	340	351	171	372	388	288	277	165	314	209	258	312	316
ABCA1	57	40	40	54	101	37	83	153	27	28	6	18	52	45	66	63
ABCA10	22	9	10	17	15	7	24	16	9	8	2	7	3	6	8	6
ABCA11P	428	248	178	153	366	119	182	253	265	212	138	130	146	154	196	143
ABCA12	63	29	14	23	60	24	45	25	88	72	44	59	134	131	166	125
ABCA13	6	1	4	2	4	8	0	0	2	6	0	0	0	0	5	1
ABCA17P	3	4	15	26	1	1	8	15	5	3	4	2	2	5	8	7
ABCA2	5548	8187	10799	11463	10569	4334	14490	15193	6508	7935	6375	8713	5902	7346	10854	11056
ABCA3	338	494	537	617	712	233	785	888	318	264	202	164	328	368	539	415
ABCA4	17	18	15	27	10	21	10	21	2	11	6	4	8	9	10	7
ABCA5	446	180	477	377	492	108	431	572	261	158	241	259	222	175	454	319
ABCA6	1	1	8	6	5	2	7	6	3	3	0	3	5	1	0	1
ABCA7	3131	3602	4705	4798	4708	1669	5952	6452	2394	2582	2648	2930	2087	2520	4712	4102
ABCA8	0	0	0	0	1	0	0	0	0	0	1	0	0	2	1	4
ABCA9	5	4	1	2	2	0	3	7	1	2	3	2	1	1	6	1
ABCB1	131	65	72	54	108	36	47	74	25	31	7	6	18	23	29	12
ABCB10	1451	987	544	380	1182	498	562	549	1162	979	272	325	899	785	490	415
ABCB11	0	0	3	0	0	0	1	1	1	1	0	0	0	0	0	1
ABCB4	4	1	0	1	3	0	1	0	1	0	2	0	2	1	2	0
ABCB5	4	1	1	2	0	0	1	0	0	1	1	0	0	0	0	0
ABCB6	1000	920	1752	1617	1191	465	1627	1543	578	567	862	746	466	521	1069	771
ABCB7	1473	720	1192	1138	1149	323	1117	1188	946	680	874	1043	629	670	1278	949
ABCB8	2147	1984	1699	1514	2530	824	1633	1635	1976	1893	1107	1300	1318	1348	1337	1285
ABCB9	537	483	665	730	657	243	640	1075	376	440	196	369	269	345	522	516
ABCC1	2756	4999	4577	5466	5854	2186	5592	6553	5779	5468	3052	4445	4417	4664	5858	5529
ABCC10	847	979	710	646	1062	439	864	821	980	926	443	542	777	863	715	714
ABCC11	14	10	21	24	11	5	38	25	20	17	17	18	24	24	63	22
ABCC12	3	0	2	0	6	6	2	2	2	4	1	0	0	1	2	2
ABCC13	0	0	0	0	0	0	2	1	1	1	0	0	0	0	0	1
ABCC2	7193	6532	2011	1993	6193	2782	2729	2524	7215	6612	957	1031	6785	6906	3800	2379
ABCC3	939	1079	1930	1960	1681	699	3056	3493	1201	1135	1414	1568	1649	1869	3867	2736
ABCC4	2389	1298	1241	1071	1950	717	1345	1217	1721	1406	624	695	1359	1222	894	703
ABCC5	1137	947	561	616	1237	477	819	760	794	717	214	196	649	637	449	441
ABCC5-AS1	0	0	0	0	0	0	0	1	0	0	0	2	0	2	1	0
ABCC6	62	60	71	48	85	36	93	92	19	21	5	14	15	23	8	21
ABCC6P1	0	2	1	2	2	1	0	2	1	0	0	1	0	2	4	1
ABCC6P2	1	0	0	1	1	0	0	1	0	2	0	0	0	0	0	0
ABCC8	8	2	4	3	5	1	5	3	2	5	0	3	0	3	2	1
ABCC9	0	0	0	1	0	0	1	0	0	0	0	1	0	2	1	1
ABCD1	314	514	386	537	684	220	508	789	378	410	113	173	292	361	276	331
ABCD2	7	0	0	0	3	1	0	0	2	1	0	0	3	2	0	4
ABCD3	3736	1941	1195	1217	2739	926	1271	1361	2262	1730	690	818	1502	1519	1311	987
ABCD4	1365	1105	1108	1147	1483	635	1590	1664	985	1015	604	660	874	993	1217	1097
